name,pool,category,shape,status,description,check_or_gap,decision
Kilim,Pool A,Craft and place,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",Check against pool B Suzani — same dye tradition.,
Sashiko indigo,Pool A,Craft and place,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",A ladder. Admissible since D204. Check against pool B Indigo dip.,
Terracotta and lime,Pool A,Craft and place,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Scandinavian winter,Pool A,Craft and place,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Summer coast,Pool A,Seasons and light,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",Check against pool B Harbour town.,
Dawn mist,Pool A,Seasons and light,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Storm light,Pool A,Seasons and light,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Aurora,Pool A,Seasons and light,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Desert bloom,Pool A,Biomes,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Coral reef,Pool A,Biomes,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Alpine,Pool A,Biomes,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Tundra,Pool A,Biomes,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Wetland reeds,Pool A,Biomes,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Wildflower verge,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Succulents,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Butterfly wing,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Plumage,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Beetle shell,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Lichen and bark,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Autumn fungi,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Rock pool,Pool A,Flora and fauna,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Opal fire,Pool A,Mineral and sky,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Slate and moss,Pool A,Mineral and sky,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Sandstone canyon,Pool A,Mineral and sky,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Night sky,Pool A,Mineral and sky,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Grisaille,In app,Art and pigment,rule,"In app — batch 3, UNSIGNED",The paint-in-greys underpainting: near-zero chroma across the full lightness range.,FILLS achromatic — no thread-based neutral set exists.,
Chiaroscuro,In app,Art and pigment,rule (2 bands),"In app — batch 3, UNSIGNED","Any hue at very low brightness, plus a narrow high-key band. The gap between them is the style.","FILLS all-hue dark — Deep sea is cool, Rainforest is green.",
Vermilion and madder,In app,Art and pigment,rule,"In app — batch 3, UNSIGNED","The red arc alone, scarlet through crimson to rose, held at chroma so it never drifts to brick.",FILLS red — Autumn leaves starts at hue 10 and is orange in practice.,
Fresco lime plaster,Pool B,Art and pigment,rule,"Queued — pool B, unsigned","What survives being painted into wet lime: earth hues capped at middling chroma, held bright.",Check against Sepia — broader and much darker.,
Verdigris and bronze,Pool B,Art and pigment,rule,"Queued — pool B, unsigned",Copper oxides against warm unweathered metal.,Fills the seam between Rainforest and Deep sea.,
Sumi ink wash,Pool B,Art and pigment,ladder,"Queued — pool B, unsigned",A warm-black dilution ladder — the warm counterpart to Grisaille.,Ladder. Judge at low colour limits too (D204).,
Cave ochre and charcoal,Pool B,Art and pigment,curated,"Queued — pool B, unsigned","Red ochre, yellow ochre, charcoal, chalk white. The oldest palette there is.",Four or five entries — tests the low end of the count floor.,
Egg tempera and gold ground,Pool B,Art and pigment,curated,"Queued — pool B, unsigned","Vermilion, lapis, ochre, verdigris, gold, ivory — the icon painter’s shelf.",Opens medieval and devotional territory.,
Expressionist woodcut,Pool B,Art and pigment,curated,"Queued — pool B, unsigned","Black, raw paper white, one or two unmixed colours cut into the block.",Deliberate counterweight to Ukiyo-e’s refinement.,
Botanical plate,Pool B,Art and pigment,curated,"Queued — pool B, unsigned","Hand-coloured engraving on cream: soft leaf greens, madder pinks, ochre, sepia line.",Check against Spring meadow.,
Terrazzo,Pool B,Design and print,rule (2 bands),"Queued — pool B, unsigned","A pale ground band carrying most of the area, plus all-hue mid-chroma chips.",A ground-plus-confetti shape the gallery has never had.,
Brutalist concrete,Pool B,Design and print,rule,"Queued — pool B, unsigned","Board-marked concrete: near-neutral mids with a cool cast, plus rust and moss staining.",INVESTIGATE — may be redundant against Moorland.,
Transit map lines,In app,Design and print,curated,"In app — batch 3, UNSIGNED",One entry per hue sextant at maximum mutual separation — colours built never to be confused.,FILLS distinguishability. At most one of this and Topographic map per batch.,
Anodised aluminium,In app,Design and print,curated,"In app — batch 3, UNSIGNED","The dyed-metal set: violet-blue, acid green, gold, red, and raw silver.",FILLS violet — the largest unclaimed region.,
Vitreous enamel signage,Pool B,Design and print,curated,"Queued — pool B, unsigned","Deep blue, white, red, black — the street-sign and shopfront set.",Check against De Stijl primaries.,
International typographic,Pool B,Design and print,curated,"Queued — pool B, unsigned","Red, black, white, one grey. The Swiss poster grid.",Ship at most one of this and Constructivist.,
Constructivist,Pool B,Design and print,curated,"Queued — pool B, unsigned","Red, black, cream, ochre — the warmer, dirtier cousin, on stock that was never white.",Ship at most one of this and International typographic.,
Ceramic glaze,Pool B,Design and print,curated,"Queued — pool B, unsigned","Celadon, tenmoku, oxblood, ash, iron. Kiln colours: muted and deep.",Sits between Moorland and Deep sea.,
Shipping container,Pool B,Industry and infrastructure,rule,"Queued — pool B, unsigned","Everything faded by a year at sea: mid chroma across all hues, nothing bright, nothing black.",Check against Moorland — brighter and hue-unrestricted.,
High-visibility safety,In app,Industry and infrastructure,curated,"In app — batch 3, UNSIGNED",Fluoro yellow-green and orange against black and retroreflective silver.,FILLS acid. Ship at most one of this and Hazard and warning.,
Hazard and warning,Pool B,Industry and infrastructure,curated,"Queued — pool B, unsigned","The three signage pairs: yellow on black, white on red, white on blue.",Overlaps High-visibility safety at yellow.,
Machinery and plant,Pool B,Industry and infrastructure,curated,"Queued — pool B, unsigned","Plant green-grey, dust yellow, oxide primer red, black. The colours of things built to be repainted.",Muted-but-warm; between Moorland and Sepia without being either.,
Maritime signal flags,Pool B,Industry and infrastructure,curated,"Queued — pool B, unsigned","Red, yellow, blue, black, white. Five colours fixed by a real system for legibility at distance.",The cleanest curated case in the pool — tiny and provenanced.,
Railway livery,Pool B,Industry and infrastructure,curated,"Queued — pool B, unsigned","Bottle green, maroon, cream, black, with fine lining one stitch wide.",Deep saturated darks; nothing shipped occupies this corner.,
Cockpit instrument,Pool B,Industry and infrastructure,curated,"Queued — pool B, unsigned","Dark panel grey-green, amber, white, warning red. Designed to be read in the dark.","Structurally like Neon noir, tonally nothing like it.",
Circuit board,Pool B,Industry and infrastructure,curated,"Queued — pool B, unsigned","Solder-mask green, gold pad, black component, tinned silver, red and blue jumper wire.","A dark, yellow-leaning green unlike Rainforest.",
Handheld green LCD,Pool B,Early computing,ladder,"Queued — pool B, unsigned",Four greens and no more. The clearest ladder in the pool.,Ladder. Judge at low colour limits too (D204).,
Green phosphor,Pool B,Early computing,ladder,"Queued — pool B, unsigned","Black to a single green, by brightness alone.",Pairs with Amber phosphor — ship both or neither.,
Amber phosphor,Pool B,Early computing,ladder,"Queued — pool B, unsigned",The same shape one hue over.,Pairs with Green phosphor.,
Four-colour adapter,Pool B,Early computing,curated,"Queued — pool B, unsigned","Black, cyan, magenta, white; the alternate mode swaps in red, green and dark yellow. The restriction is the style.",Not Retro 16 — the point is what is missing.,
Composite artefact colour,Pool B,Early computing,curated,"Queued — pool B, unsigned","The purple, green, blue and orange fringes that appeared where no colour was ever sent.",Nothing in the gallery resembles it.,
Home micro brights,Pool B,Early computing,curated,"Queued — pool B, unsigned",Eight hues at two brightness levels — the dim/bright pairing is the whole character.,INVESTIGATE — may collapse into 1-bit RGB without the pairing.,
Home console,Pool B,Early computing,curated,"Queued — pool B, unsigned","The washed, low-contrast console palette with no true saturation at the extremes.",INVESTIGATE — check against pool A 8-bit arcade.,
Teal and orange,In app,Photography and film,rule (2 bands),"In app — batch 3, UNSIGNED","A warm skin arc against a cool shadow arc, greens and magentas left out.",FILLS the warm/cool pole shape — Neon noir is magenta/cyan.,
Cross-processed,Pool B,Photography and film,rule (2 bands),"Queued — pool B, unsigned","Highlights pushed yellow-green, shadows pushed cyan-blue.","A hue split by brightness, which no shipped profile does.",
Instant film,Pool B,Photography and film,rule,"Queued — pool B, unsigned",Milky and warm: low chroma at mid-to-high brightness with the hue range skewed off neutral.,Check against Pastels — lighter and hue-free.,
Sun-bleached print,Pool B,Photography and film,rule,"Queued — pool B, unsigned","Cyan dye fades first, so an old print drifts magenta-yellow.",Check against Sepia — this keeps pink.,
Bleach bypass,Pool B,Photography and film,rule,"Queued — pool B, unsigned","Chroma stripped almost out, blacks kept full.",INVESTIGATE — likely redundant against Grisaille and Moorland.,
Screen-plate colour,Pool B,Photography and film,curated,"Queued — pool B, unsigned","The earliest colour photography: soft orange-red, green and blue-violet grains over a warm haze.",Named by process — the maker’s mark is now in the guard.,
Natural dye garden,Pool B,Textile and dye,curated,"Queued — pool B, unsigned","Weld yellow, madder red, woad blue, walnut brown, onion gold. What a dye plot actually yields.",Provenanced and genuinely small. Strong candidate.,
Indigo dip,Pool B,Textile and dye,ladder,"Queued — pool B, unsigned",Each dip darkens the last.,"INVESTIGATE — check against pool A Sashiko indigo, same shape.",
Tartan sett,Pool B,Textile and dye,curated,"Queued — pool B, unsigned","Bottle green, navy, deep red, black, with white and yellow overchecks one thread wide.","Check against Fair Isle — darker, dyed rather than undyed.",
Undyed fleece,Pool B,Textile and dye,curated,"Queued — pool B, unsigned","White, oatmeal, moorit brown, grey, black — the colours sheep come in.","INVESTIGATE — Fair Isle already opens on undyed wool (3866, 3045).",
Kente,Pool B,Textile and dye,curated,"Queued — pool B, unsigned","Gold, maroon, forest green, black, blue, in strip-woven cloth where each colour carries meaning.",Cultural naming — owner’s explicit call.,
Suzani,Pool B,Textile and dye,curated,"Queued — pool B, unsigned","Madder, indigo, saffron, cream: Central Asian embroidery in silk on a plain ground.",Check against pool A Kilim — same dye tradition.,
Sari and zari,Pool B,Textile and dye,curated,"Queued — pool B, unsigned",Saturated silk grounds shot through with metallic gold thread.,Check against Gemstones — chroma with no metal.,
Heraldic tinctures,In app,"Systems, maps and laboratory",curated,"In app — batch 3, UNSIGNED","Gules, azure, vert, sable, or, argent, purpure — seven colours fixed for eight centuries.","FILLS violet via a defined system, so membership is not a taste call.",
Laboratory stain,Pool B,"Systems, maps and laboratory",curated,"Queued — pool B, unsigned","Haematoxylin blue-purple against eosin pink, on white.","FILLS the violet-to-pink corner, which nothing shipped enters.",
Geological map,Pool B,"Systems, maps and laboratory",curated,"Queued — pool B, unsigned","The stratigraphic period colours: pale yet oddly saturated, standardised internationally.",A light-and-chromatic register that exists nowhere else.,
Topographic map,Pool B,"Systems, maps and laboratory",curated,"Queued — pool B, unsigned","Buff contours, blue water, woodland green, road orange, grey grid on white.",Never name a national mapping agency. At most one of this and Transit map lines per batch.,
Nautical chart,Pool B,"Systems, maps and laboratory",curated,"Queued — pool B, unsigned","Buff land, depth-banded blues, magenta symbols, black soundings.",Depth bands are ladder-shaped; admissible since D204.,
Foundry heat,Pool B,"Heat, light and sky",ladder,"Queued — pool B, unsigned","Black through cherry red, orange and yellow to white. The blackbody curve.",The most legible ramp in the pool.,
Stellar temperature,Pool B,"Heat, light and sky",ladder,"Queued — pool B, unsigned",Red through white to blue — a ladder that crosses hue rather than staying on one.,Ladder. Judge at low colour limits too (D204).,
Cyanotype,Pool B,"Heat, light and sky",ladder,"Queued — pool B, unsigned","Paper white to Prussian blue, with nothing between but dilution.",Ladder. Judge at low colour limits too (D204).,
Institution green,Pool B,Vernacular and place,rule,"Queued — pool B, unsigned","The pale green-grey of hospitals, schools and swimming baths: narrow, cool, low chroma, held bright.",FILLS light-and-muted-with-hue — Pastels is hue-free.,
Allotment and shed,Pool B,Vernacular and place,curated,"Queued — pool B, unsigned","Creosote brown, sage paint, terracotta pot, galvanised grey.",Check against Moorland — warmer and lighter throughout.,
Fairground and carousel,Pool B,Vernacular and place,curated,"Queued — pool B, unsigned","Red, gold, cream, deep green, mirror silver — gilded and lined.","Check against pool A Rave flyer — ornate, not flat.",
Enamelware kitchen,Pool B,Vernacular and place,curated,"Queued — pool B, unsigned","Cream body, deep green or navy trim, one red handle.","Overlaps Vitreous enamel signage in material, not in use.",
Sports pitch and playground,Pool B,Vernacular and place,curated,"Queued — pool B, unsigned","Primary plastics on pitch green and asphalt grey, white line-marking through it.",Bright primaries on a dull ground — a contrast structure nothing shipped has.,
Harbour town,Pool B,Vernacular and place,curated,"Queued — pool B, unsigned","Painted terraces: chalky pinks, blues and ochres against white, weathered by salt air.",INVESTIGATE — close to pool A Summer coast.,
